Tables_in_bookstore
account
alertto
authors
book_quality
book_return
book_type
books
bookstore
cart
city
country
customer_feedback
customers
discount_type
discounts
distributors
drivers
employees
genre
issue
jobs
language_of_book
order_status
orders
payments
publishers
replacement
sales
shelf_details
shipping
state
supplier
titles
transactions
transport
vehicles
visitor
wishlist
